7C85869B	Wide angle Earth sensor
58CAF3B8	Implementation of the readout system in the UFFO Slewing Mirror Telescope
60C8F953	The influence of detected Cerenkov flashes treatment on their measured parameters.
79CCFF2F	Two-mirror planetary camera with an off-Rowland UV spectograph for the Rosetta space mission
7EEB82E5	Particle Sizing in Strongly Turbid Suspensions with the One-Beam Cross-Correlation Dynamic Light-Scattering Technique
7C19302C	Matched tandem etalon camera—MATEC—and its application to auroral observations
068A8E61	A preliminary assessment of the quality of UV data derived from the database HelioClim-3
793C8569	Graze-centric image analysis for efficient visual search
0448A603	Atmospheric Monitoring System of the JEM-EUSO Mission
78252CFF	Development of the WAMS-TIR instrument for SPF-II
7821A0AF	A Fast Image Super-Resolution Algorithm Using an Adaptive Wiener Filter
61F58C78	Parameterizing the Dust Around Herbig Ae/Be Stars: Multiwavelength Imaging, Radiative Transfer Modeling, and Near-Infrared Instrumentation
757FCC82	Monitoring and Detecting X-ray Transients with the Swift Observatory
7FF33B93	Algorithm to extend reconstruction field-of-view
5FF52657	The ALEXIS Project: EUV Astrophysics on a Rollercoaster
76F113F3	Spectrometer SPI of the INTEGRAL mission
77E5C19F	Tests of a temporal theory of attentional binding
0202329B	Adaptive Optics Observations of Radial Velocity Planetary Systems
07BF91F4	Imaging and surveying the Gamma-ray sky with BATSE and INTEGRAL
7E152233	Calibration source and temperature standard for passive millimetre wave imagers
80600E55	Event-related functional MR imaging of visual cortex stimulation at high temporal resolution using a standard 1.5 T imager
758C1354	Optics of the eyes of Phronima and other deep-sea amphipods
6421D2B7	GLAST: Exploring Nature's Highest Energy Processes with the Gamma-ray Large Area Space Telescope
782835B4	The changes in aberrations when the object and stop are moved
785B36A6	1D-KBA microscope using double-periodic multilayer
7C0F3B63	Region of interest (ROI) computed tomography (CT): comparison with full field of view (FFOV) and truncated CT for a human head phantom
7C956DF0	The effects of practice in a useful field of view task on driving performance
584CDE32	Photoelectric control of daylight-following lighting systems (Daylight-sensing photocell placement)
603568D0	Fabry-Perot observations of comet Austin 1989c1=1990 V
7AF5831F	3D Target Tracking Using Multiple Calibrated Cameras
03DD6829	Optica aperture synthesis
58DBF8F0	Toward the Evolution of Dynamical Neural Networks for Minimally Cognitive Behavior
7B2AE201	Iterative reconstruction for multi-source inverse geometry CT: a feasibility study
040D9B05	Asteroid Photometry: Tricky Business
037F4DE9	Star Formation, Structure and Evolution of Group Galaxies: The Environmental Connection
7F62710D	Radiative cryogenic cooler for the near infrared mapping spectrometer for the Galileo Jupiter Orbiter
814CA5D2	Quantifying geomembrane wrinkles using aerial photography and digital image processing
78FC5EF1	AETC: Advanced Exposure Time Calculator
762516CA	The Ohio State Multi-Object Spectrograph
0389FE9A	HAT Variability Search in the High Stellar Density
6405A8AE	A Large, Serviceable HST Successor
754D01EE	Constraining the black hole mass in M82 X‐1 with VLBI
