7FAB472E	7A257281 76F8E2F7 7E82D131 77271972
7D2F0404	08F8A714 7F45CB62 7AE26D71 77A40CBF 7650A4A9 7D8E6DC2 813CEA8D 7A7C03B9 7573F5CB 7CFBE58E 7D6EA2A8 2CF9A719 7F4C43F5 753E30CE 7556FBC2 7D3D2B46
7DFB7402	79F854F5 749BC14E 58F17CC8 5AEDD217 7D41087C 7E5741A4 43F292C0 00F7BF4D
7E24BBA9	75BAB553 7D51AD7F 58FFDE3F 80A5EE52 7829E2A9
5A402592	0AEB2566 5DDF156F 5E2A6B68 7F22F00F 5D24D37C 5BAC5F47
7E25E441	7E4B1794 80841DB1 086FBA54 85CED955 7B377E5F
7E5465DB	7FC7CAFE 5D4A3688
7DCC5D43	7A7F08E1 7C68309F 02E10CB6 7BD56097 784E3314 08060968 7D3D2B46 77EAB483 76F35AAF 7605931F 815DF5DC 7DC0DBF9 7A2EE69D 76A0472C 78883EED 05D7F693
5EC8FA26	15F328FC 0AD1E33B 5AF10A2C 6599B6AA 777B8931 5E2F1026 257638A3 61885ED1
78B9348D	7E15CD59 765FAFED 7E44FA58 7A55B1DE 7C1D1E53 7730C9F6 78399896 7E02E50E 80138CF8 7E90EC4E 768608E7 79DA292E 784EE6E1 7F12221C 797DA01B 77B734CD 79E2BC90 7B49C3E2 7DE3D21B 7F818064 812C4FF6 75C90462 7F537DE6 7605E4A7 79E2DADF 790609EB 7CF732AB 7CA4A098 815994AD 7ECE24C6 75EC3935 75FE5CD2 7C72F454 81278644 752C03F2 801E59BB 808FACCC 8112671E 765B682A 79C71622 80F003FC 7E76CA45 794BA05E 75D89303 77A8241A 7E578F64 7E9519FA 77A31AA1 7C6275AB 7E8E6284 76953B09 76D3C630 7B30B4B2 7F044ADE 7783B473 7BF09F3C 7DFE543D 76D0B48A 799FA01C 7F4C43F5 7F4F2BBE 7E88D35F 7D23AD80 7B677CDD 812BB044 75328D69 815F8A5C 7BFD07F5 7C56E407 7D4112D3 7F5674F4 813175A7
7F6F5C1C	75522908 7DB570D7 5CDE7E0F 7525817F 7DFB90AD 781B09C8 59CC429B 7DF31D67 5E1CE943 5F3B77E4 7F89F70C 8017B7D6 8022AB49 7DA2CB17 73BAE28F 7B8CA29F 5D22683B 7E97323E 7D6326EF 7D61EB2D 7EEB870B
7B841726	77005B91 79998B5E 0C299B02 7E723C30 79B3C142 6D71F0A0 79898C66 7A6E78E2 5D282692 79F48C7B 821E2FD4
7F458D37	5B20C7A5
808971D1	7DA78805 7C2DE318 5E4CE753 7FDA105F 5F3FDFBC 58D48220 8042BD9C 792F8D2F
7D450960	80DC5F3C 7F612DD6 7D2D4545 8147CE4C 80D708CA
7647F0BD	774DD0E7 7E835FEC 7F8C7DA2 7C1BA12D 76F10F6E 81153F9F 7D63784A 77DB8EDA
81165A74	7B8AD4B3 59F5B1A7 0270A5F4 729F2DAB 7F1181A2 74688F07 5C5A6CC6 755C4E34 7DF7E0FE 6DF9FD34 59938964 76E104CD 81857E52 637976D8 81752C28 77AF145E 80F738EA 7E4C05DD 80CED077 73A5CBF6 753E9423
6EA40FFE	7E6FB763 6118976A 807DB82C
